x: 255.46, y: 240.29, xUWB: 255.6, yUWB: 237.9
x: 259.16, y: 240.19, xUWB: 255.6, yUWB: 237.9
x: 259.16, y: 240.19, xUWB: 261.1, yUWB: 241.8
x: 259.16, y: 240.19, xUWB: 261.1, yUWB: 241.8
x: 263.26, y: 240.09, xUWB: 261.1, yUWB: 241.8
x: 263.26, y: 240.09, xUWB: 261.1, yUWB: 241.8
x: 266.96, y: 240.09, xUWB: 261.1, yUWB: 241.8
x: 266.96, y: 240.09, xUWB: 269.3, yUWB: 238.8
x: 266.96, y: 240.09, xUWB: 269.3, yUWB: 238.8
x: 270.86, y: 239.99, xUWB: 269.3, yUWB: 238.8
x: 270.86, y: 239.99, xUWB: 269.3, yUWB: 238.8
x: 274.86, y: 239.89, xUWB: 269.3, yUWB: 238.8
x: 274.86, y: 239.89, xUWB: 271.6, yUWB: 237.0
x: 274.86, y: 239.89, xUWB: 271.6, yUWB: 237.0
x: 278.56, y: 239.89, xUWB: 271.6, yUWB: 237.0
x: 278.56, y: 239.89, xUWB: 271.6, yUWB: 237.0
x: 282.46, y: 239.79, xUWB: 271.6, yUWB: 237.0
x: 282.46, y: 239.79, xUWB: 279.8, yUWB: 235.9
x: 282.46, y: 239.79, xUWB: 279.8, yUWB: 235.9
x: 286.26, y: 239.69, xUWB: 279.8, yUWB: 235.9
x: 286.26, y: 239.69, xUWB: 279.8, yUWB: 235.9
x: 290.26, y: 239.69, xUWB: 279.8, yUWB: 235.9
x: 290.26, y: 239.69, xUWB: 279.8, yUWB: 235.9
x: 294.16, y: 239.59, xUWB: 279.8, yUWB: 235.9
x: 294.16, y: 239.59, xUWB: 288.8, yUWB: 241.8
x: 294.16, y: 239.59, xUWB: 288.8, yUWB: 241.8
x: 298.06, y: 239.49, xUWB: 288.8, yUWB: 241.8
x: 298.06, y: 239.49, xUWB: 288.8, yUWB: 241.8
x: 301.96, y: 239.49, xUWB: 288.8, yUWB: 241.8
x: 301.96, y: 239.49, xUWB: 294.0, yUWB: 235.0
x: 301.96, y: 239.49, xUWB: 294.0, yUWB: 235.0
x: 305.76, y: 239.49, xUWB: 294.0, yUWB: 235.0
x: 305.76, y: 239.49, xUWB: 294.0, yUWB: 235.0
x: 309.76, y: 239.39, xUWB: 294.0, yUWB: 235.0
x: 309.76, y: 239.39, xUWB: 302.9, yUWB: 237.1
x: 309.76, y: 239.39, xUWB: 302.9, yUWB: 237.1
x: 313.56, y: 239.29, xUWB: 302.9, yUWB: 237.1
x: 313.56, y: 239.29, xUWB: 302.9, yUWB: 237.1
x: 317.56, y: 239.19, xUWB: 302.9, yUWB: 237.1
x: 317.56, y: 239.19, xUWB: 311.0, yUWB: 240.3
x: 317.56, y: 239.19, xUWB: 311.0, yUWB: 240.3
x: 321.16, y: 239.09, xUWB: 311.0, yUWB: 240.3
x: 321.16, y: 239.09, xUWB: 311.0, yUWB: 240.3
x: 324.96, y: 238.99, xUWB: 311.0, yUWB: 240.3
x: 324.96, y: 238.99, xUWB: 316.4, yUWB: 238.9
x: 324.96, y: 238.99, xUWB: 316.4, yUWB: 238.9
x: 328.96, y: 238.79, xUWB: 316.4, yUWB: 238.9
x: 328.96, y: 238.79, xUWB: 316.4, yUWB: 238.9
x: 332.76, y: 238.69, xUWB: 316.4, yUWB: 238.9
x: 332.76, y: 238.69, xUWB: 327.3, yUWB: 240.4
x: 332.76, y: 238.69, xUWB: 327.3, yUWB: 240.4
x: 336.76, y: 238.49, xUWB: 327.3, yUWB: 240.4
x: 336.76, y: 238.49, xUWB: 327.3, yUWB: 240.4
x: 340.66, y: 238.19, xUWB: 327.3, yUWB: 240.4
x: 340.66, y: 238.19, xUWB: 327.3, yUWB: 240.4
x: 344.56, y: 237.89, xUWB: 327.3, yUWB: 240.4
x: 344.56, y: 237.89, xUWB: 332.8, yUWB: 233.4
x: 344.56, y: 237.89, xUWB: 332.8, yUWB: 233.4
x: 348.46, y: 237.69, xUWB: 332.8, yUWB: 233.4
x: 348.46, y: 237.69, xUWB: 332.8, yUWB: 233.4
x: 352.36, y: 237.29, xUWB: 332.8, yUWB: 233.4
x: 352.36, y: 237.29, xUWB: 336.3, yUWB: 237.3
x: 352.36, y: 237.29, xUWB: 336.3, yUWB: 237.3
x: 356.16, y: 236.99, xUWB: 336.3, yUWB: 237.3
x: 356.16, y: 236.99, xUWB: 336.3, yUWB: 237.3
x: 360.16, y: 236.59, xUWB: 336.3, yUWB: 237.3
x: 360.16, y: 236.59, xUWB: 350.9, yUWB: 236.2
x: 360.16, y: 236.59, xUWB: 350.9, yUWB: 236.2
x: 363.96, y: 236.19, xUWB: 350.9, yUWB: 236.2
x: 363.96, y: 236.19, xUWB: 350.9, yUWB: 236.2
x: 367.86, y: 235.69, xUWB: 350.9, yUWB: 236.2
x: 367.86, y: 235.69, xUWB: 350.9, yUWB: 236.2
x: 371.76, y: 235.29, xUWB: 350.9, yUWB: 236.2
x: 371.76, y: 235.29, xUWB: 350.9, yUWB: 236.2
x: 375.76, y: 234.79, xUWB: 350.9, yUWB: 236.2
x: 375.76, y: 234.79, xUWB: 238.7, yUWB: 34.2
x: 375.76, y: 234.79, xUWB: 238.7, yUWB: 34.2
x: 379.56, y: 234.19, xUWB: 238.7, yUWB: 34.2
x: 379.56, y: 234.19, xUWB: 238.7, yUWB: 34.2
x: 383.36, y: 233.69, xUWB: 238.7, yUWB: 34.2
x: 383.36, y: 233.69, xUWB: 370.3, yUWB: 230.8
x: 383.36, y: 233.69, xUWB: 370.3, yUWB: 230.8
x: 387.36, y: 233.09, xUWB: 370.3, yUWB: 230.8
x: 387.36, y: 233.09, xUWB: 370.3, yUWB: 230.8
x: 391.06, y: 232.39, xUWB: 370.3, yUWB: 230.8
x: 391.06, y: 232.39, xUWB: 370.3, yUWB: 230.8
x: 394.96, y: 231.69, xUWB: 370.3, yUWB: 230.8
x: 394.96, y: 231.69, xUWB: 381.4, yUWB: 226.8
x: 394.96, y: 231.69, xUWB: 381.4, yUWB: 226.8
x: 398.66, y: 230.79, xUWB: 381.4, yUWB: 226.8
x: 398.66, y: 230.79, xUWB: 381.4, yUWB: 226.8
x: 402.46, y: 229.79, xUWB: 381.4, yUWB: 226.8
x: 402.46, y: 229.79, xUWB: 384.4, yUWB: 223.0
x: 402.46, y: 229.79, xUWB: 384.4, yUWB: 223.0
x: 406.26, y: 228.69, xUWB: 384.4, yUWB: 223.0
x: 406.26, y: 228.69, xUWB: 384.4, yUWB: 223.0
x: 409.96, y: 227.49, xUWB: 384.4, yUWB: 223.0
x: 409.96, y: 227.49, xUWB: 388.3, yUWB: 221.0
x: 409.96, y: 227.49, xUWB: 388.3, yUWB: 221.0
x: 413.66, y: 226.19, xUWB: 388.3, yUWB: 221.0
x: 413.66, y: 226.19, xUWB: 388.3, yUWB: 221.0
x: 417.16, y: 224.69, xUWB: 388.3, yUWB: 221.0
x: 417.16, y: 224.69, xUWB: 389.5, yUWB: 212.7
x: 417.16, y: 224.69, xUWB: 389.5, yUWB: 212.7
x: 420.76, y: 223.09, xUWB: 389.5, yUWB: 212.7
x: 420.76, y: 223.09, xUWB: 389.5, yUWB: 212.7
x: 424.36, y: 221.39, xUWB: 389.5, yUWB: 212.7
x: 424.36, y: 221.39, xUWB: 403.5, yUWB: 212.3
x: 424.36, y: 221.39, xUWB: 403.5, yUWB: 212.3
x: 427.66, y: 219.69, xUWB: 403.5, yUWB: 212.3
x: 427.66, y: 219.69, xUWB: 403.5, yUWB: 212.3
x: 431.06, y: 217.59, xUWB: 403.5, yUWB: 212.3
x: 431.06, y: 217.59, xUWB: 410.3, yUWB: 201.4
x: 431.06, y: 217.59, xUWB: 410.3, yUWB: 201.4
x: 434.26, y: 215.39, xUWB: 410.3, yUWB: 201.4
x: 434.26, y: 215.39, xUWB: 410.3, yUWB: 201.4
x: 437.36, y: 213.09, xUWB: 410.3, yUWB: 201.4
x: 437.36, y: 213.09, xUWB: 410.3, yUWB: 201.4
x: 440.46, y: 210.49, xUWB: 410.3, yUWB: 201.4
x: 440.46, y: 210.49, xUWB: 417.1, yUWB: 194.6
x: 440.46, y: 210.49, xUWB: 417.1, yUWB: 194.6
x: 443.16, y: 207.89, xUWB: 417.1, yUWB: 194.6
x: 443.16, y: 207.89, xUWB: 417.1, yUWB: 194.6
x: 445.96, y: 204.89, xUWB: 417.1, yUWB: 194.6
x: 445.96, y: 204.89, xUWB: 412.8, yUWB: 183.8
x: 445.96, y: 204.89, xUWB: 412.8, yUWB: 183.8
x: 448.36, y: 201.89, xUWB: 412.8, yUWB: 183.8
x: 448.36, y: 201.89, xUWB: 412.8, yUWB: 183.8
x: 450.66, y: 198.79, xUWB: 412.8, yUWB: 183.8
x: 450.66, y: 198.79, xUWB: 423.0, yUWB: 164.4
x: 450.66, y: 198.79, xUWB: 423.0, yUWB: 164.4
x: 452.76, y: 195.59, xUWB: 423.0, yUWB: 164.4
x: 452.76, y: 195.59, xUWB: 423.0, yUWB: 164.4
x: 454.66, y: 192.09, xUWB: 423.0, yUWB: 164.4
x: 454.66, y: 192.09, xUWB: 427.4, yUWB: 149.6
x: 454.66, y: 192.09, xUWB: 427.4, yUWB: 149.6
x: 456.36, y: 188.49, xUWB: 427.4, yUWB: 149.6
x: 456.36, y: 188.49, xUWB: 427.4, yUWB: 149.6
x: 457.96, y: 184.99, xUWB: 427.4, yUWB: 149.6
x: 457.96, y: 184.99, xUWB: 431.7, yUWB: 205.0
x: 457.96, y: 184.99, xUWB: 431.7, yUWB: 205.0
x: 459.36, y: 181.29, xUWB: 431.7, yUWB: 205.0
x: 459.36, y: 181.29, xUWB: 431.7, yUWB: 205.0
x: 460.66, y: 177.49, xUWB: 431.7, yUWB: 205.0
x: 460.66, y: 177.49, xUWB: 437.0, yUWB: 187.8
x: 460.66, y: 177.49, xUWB: 437.0, yUWB: 187.8
x: 461.76, y: 173.69, xUWB: 437.0, yUWB: 187.8
x: 461.76, y: 173.69, xUWB: 437.0, yUWB: 187.8
x: 462.76, y: 169.89, xUWB: 437.0, yUWB: 187.8
x: 462.76, y: 169.89, xUWB: 437.0, yUWB: 187.8
x: 463.76, y: 166.29, xUWB: 437.0, yUWB: 187.8
x: 463.76, y: 166.29, xUWB: 444.3, yUWB: 174.1
x: 463.76, y: 166.29, xUWB: 444.3, yUWB: 174.1
x: 464.56, y: 162.09, xUWB: 444.3, yUWB: 174.1
x: 464.56, y: 162.09, xUWB: 444.3, yUWB: 174.1
x: 465.26, y: 158.39, xUWB: 444.3, yUWB: 174.1
x: 465.26, y: 158.39, xUWB: 443.3, yUWB: 158.6
x: 465.26, y: 158.39, xUWB: 443.3, yUWB: 158.6
x: 465.86, y: 154.79, xUWB: 443.3, yUWB: 158.6
x: 465.86, y: 154.79, xUWB: 443.3, yUWB: 158.6
x: 466.36, y: 150.89, xUWB: 443.3, yUWB: 158.6
